project_id,street_address,sample_id,laboratory,lab_data_availability,collection_date,analysis_date,parameter,ppbv_results,ppbv_rl,ug_m3_results,ug_m3_rl
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Propene,ND,2.5,ND,4.3
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Dichlorodifluoromethane(Freon12),1.9,2.5,9.4,12.4
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Chloromethane,ND,2.5,ND,5.2
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"1,2-Dichlorotetrafluoroethane(Freon114)",ND,2.5,ND,17.5
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Vinylchloride,ND,2.5,ND,6.4
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"1,3-Butadiene",ND,2.5,ND,5.5
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Bromomethane,ND,2.5,ND,9.7
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Chloroethane,ND,2.5,ND,6.6
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Acetone,ND,2.5,ND,5.9
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Trichlorofluoromethane(Freon11),ND,2.5,ND,14
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Ethanol,ND,2.5,ND,4.7
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"1,1-Dichloroethene",ND,2.5,ND,9.9
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Methylenechloride,5.7,2.5,19.8,8.7
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"1,1,2-Trichlorotrifluoroethane(Freon113)",ND,2.5,ND,19.2
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Carbondisulfide,64.2,2.5,200,7.8
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"trans-1,2-Dichloroethene",ND,2.5,ND,9.9
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"1,1-Dichloroethane",ND,2.5,ND,10.1
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Methyltert-butylether,ND,2.5,ND,9
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Isopropylalcohol,ND,2.5,ND,6.1
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,2-Butanone(MEK),1.8,2.5,5.3,7.4
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"cis-1,2-Dichloroethene",ND,2.5,ND,9.9
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Hexane,29.8,2.5,105,8.8
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Ethylacetate,ND,2.5,ND,9
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Chloroform,10.8,2.5,52.6,12.2
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Tetrahydrofuran,ND,2.5,ND,7.4
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"1,2-Dichloroethane",ND,2.5,ND,10.1
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"1,1,1-Trichloroethane",ND,2.5,ND,13.6
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Benzene,3.9,2.5,12.4,8
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Carbontetrachloride,ND,2.5,ND,15.7
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Cyclohexane,7.3,2.5,25.1,8.6
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"1,2-Dichloropropane",ND,2.5,ND,11.6
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Bromodichloromethane,ND,2.5,ND,16.7
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Trichloroethene,ND,2.5,ND,13.4
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,n-Heptane,11.2,2.5,45.9,10.2
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,4-Methyl-2-pentanone(MIBK),ND,2.5,ND,10.2
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"cis-1,3-Dichloropropene",ND,2.5,ND,11.3
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"trans-1,3-Dichloropropene",ND,2.5,ND,11.3
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"1,1,2-Trichloroethane",ND,2.5,ND,13.6
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Toluene,14.7,2.5,55.3,9.4
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,2-Hexanone(MBK),ND,2.5,ND,10.2
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Dibromochloromethane,ND,2.5,ND,21.3
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"1,2-Dibromoethane(EDB)",ND,2.5,ND,19.2
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Tetrachloroethene,36.3,2.5,246,17
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Chlorobenzene,ND,2.5,ND,11.5
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Ethylbenzene,2.4,2.5,10.4,10.8
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"m,p-Xylene",7.25,5,31.4,21.7
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Bromoform,ND,2.5,ND,25.8
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Styrene,ND,2.5,ND,10.6
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,o-Xylene,2.5,2.5,10.8,10.8
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"1,1,2,2-Tetrachloroethane",ND,2.5,ND,17.2
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"1,3,5-Trimethylbenzene",1.55,2.5,7.6,12.3
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,4-Ethyltoluene,ND,2.5,ND,12.3
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"1,2,4-Trimethylbenzene",3.35,2.5,16.5,12.3
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"1,3-Dichlorobenzene",ND,2.5,ND,15
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Benzylchloride,ND,2.5,ND,12.9
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"1,4-Dichlorobenzene",ND,2.5,ND,15
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"1,2-Dichlorobenzene",ND,2.5,ND,15
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"1,2,4-Trichlorobenzene",ND,2.5,ND,18.6
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Hexachlorobutadiene,ND,2.5,ND,26.7
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Propene,155,10,267,17.2
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Dichlorodifluoromethane(Freon12),14.4,10,71.2,49.4
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Chloromethane,ND,10,ND,20.7
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,"1,2-Dichlorotetrafluoroethane(Freon114)",ND,10,ND,69.9
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Vinylchloride,ND,10,ND,25.6
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,"1,3-Butadiene",ND,10,ND,22.1
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Bromomethane,ND,10,ND,38.8
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Chloroethane,ND,10,ND,26.4
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Acetone,1070,10,2540,23.8
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Trichlorofluoromethane(Freon11),14.2,10,79.8,56.2
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Ethanol,180,10,339,18.9
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,"1,1-Dichloroethene",ND,10,ND,39.7
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Methylenechloride,ND,10,ND,34.7
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,"1,1,2-Trichlorotrifluoroethane(Freon113)",ND,10,ND,76.6
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Carbondisulfide,ND,10,ND,31.1
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,"trans-1,2-Dichloroethene",ND,10,ND,39.7
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,"1,1-Dichloroethane",ND,10,ND,40.5
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Methyltert-butylether,ND,10,ND,36.1
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Isopropylalcohol,42.8,10,105,24.5
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,2-Butanone(MEK),202,10,596,29.5
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,"cis-1,2-Dichloroethene",ND,10,ND,39.7
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Hexane,ND,10,ND,35.3
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Ethylacetate,ND,10,ND,36
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Chloroform,ND,10,ND,48.7
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Tetrahydrofuran,ND,10,ND,29.5
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,"1,2-Dichloroethane",ND,10,ND,40.5
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,"1,1,1-Trichloroethane",ND,10,ND,54.6
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Benzene,ND,10,ND,31.9
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Carbontetrachloride,ND,10,ND,62.9
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Cyclohexane,ND,10,ND,34.4
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,"1,2-Dichloropropane",ND,10,ND,46.2
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Bromodichloromethane,ND,10,ND,67
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Trichloroethene,ND,10,ND,53.7
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,n-Heptane,ND,10,ND,41
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,4-Methyl-2-pentanone(MIBK),ND,10,ND,41
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,"cis-1,3-Dichloropropene",ND,10,ND,45.4
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,"trans-1,3-Dichloropropene",ND,10,ND,45.4
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,"1,1,2-Trichloroethane",ND,10,ND,54.6
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Toluene,20.4,10,76.8,37.6
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,2-Hexanone(MBK),45.4,10,186,41
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Dibromochloromethane,ND,10,ND,85.2
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,"1,2-Dibromoethane(EDB)",ND,10,ND,76.9
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Tetrachloroethene,24.4,10,165,67.8
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Chlorobenzene,ND,10,ND,46.1
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Ethylbenzene,ND,10,ND,43.4
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,"m,p-Xylene",ND,20,ND,86.7
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Bromoform,ND,10,ND,103
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Styrene,ND,10,ND,42.5
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,o-Xylene,ND,10,ND,43.4
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,"1,1,2,2-Tetrachloroethane",ND,10,ND,68.7
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,"1,3,5-Trimethylbenzene",ND,10,ND,49.2
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,4-Ethyltoluene,ND,10,ND,49.2
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,"1,2,4-Trimethylbenzene",ND,10,ND,49.2
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,"1,3-Dichlorobenzene",ND,10,ND,60.1
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Benzylchloride,ND,10,ND,51.5
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,"1,4-Dichlorobenzene",ND,10,ND,60.1
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,"1,2-Dichlorobenzene",ND,10,ND,60.1
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,"1,2,4-Trichlorobenzene",ND,10,ND,74.2
15CVCP014K,86 Fleet Place,SV-22,Spectrum Analytical,Yes,2007-06-12,2007-06-16T00:00:00Z,Hexachlorobutadiene,ND,10,ND,107
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Propene,ND,0.5,ND,0.9
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Dichlorodifluoromethane(Freon12),1.94,0.5,9.6,2.5
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Chloromethane,0.4,0.5,0.8,1
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,"1,2-Dichlorotetrafluoroethane(Freon114)",ND,0.5,ND,3.5
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Vinylchloride,ND,0.5,ND,1.3
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,"1,3-Butadiene",ND,0.5,ND,1.1
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Bromomethane,ND,0.5,ND,1.9
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Chloroethane,ND,0.5,ND,1.3
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Acetone,ND,0.5,ND,1.2
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Trichlorofluoromethane(Freon11),18.9,0.5,106,2.8
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Ethanol,3.67,0.5,6.9,0.9
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,"1,1-Dichloroethene",ND,0.5,ND,2
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Methylenechloride,3.32,0.5,11.5,1.7
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,"1,1,2-Trichlorotrifluoroethane(Freon113)",ND,0.5,ND,3.8
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Carbondisulfide,52,0.5,162,1.6
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,"trans-1,2-Dichloroethene",ND,0.5,ND,2
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,"1,1-Dichloroethane",ND,0.5,ND,2
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Methyltert-butylether,ND,0.5,ND,1.8
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Isopropylalcohol,ND,0.5,ND,1.2
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,2-Butanone(MEK),0.78,0.5,2.3,1.5
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,"cis-1,2-Dichloroethene",ND,0.5,ND,2
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Hexane,1.64,0.5,5.8,1.8
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Ethylacetate,ND,0.5,ND,1.8
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Chloroform,17.7,0.5,86.1,2.4
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Tetrahydrofuran,ND,0.5,ND,1.5
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,"1,2-Dichloroethane",ND,0.5,ND,2
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,"1,1,1-Trichloroethane",0.73,0.5,4,2.7
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Benzene,3.18,0.5,10.1,1.6
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Carbontetrachloride,ND,0.5,ND,3.2
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Cyclohexane,1.36,0.5,4.7,1.7
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,"1,2-Dichloropropane",ND,0.5,ND,2.3
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Bromodichloromethane,ND,0.5,ND,3.4
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Trichloroethene,0.33,0.5,1.8,2.7
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,n-Heptane,0.92,0.5,3.8,2.1
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,4-Methyl-2-pentanone(MIBK),ND,0.5,ND,2.1
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,"cis-1,3-Dichloropropene",ND,0.5,ND,2.3
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,"trans-1,3-Dichloropropene",ND,0.5,ND,2.3
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,"1,1,2-Trichloroethane",ND,0.5,ND,2.7
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Toluene,14.5,0.5,54.6,1.9
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,2-Hexanone(MBK),ND,0.5,ND,2.1
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Dibromochloromethane,ND,0.5,ND,4.3
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,"1,2-Dibromoethane(EDB)",ND,0.5,ND,3.8
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Tetrachloroethene,96.2,0.5,652,3.4
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Chlorobenzene,ND,0.5,ND,2.3
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Ethylbenzene,2.35,0.5,10.2,2.2
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,"m,p-Xylene",7.62,1,33,4.3
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Bromoform,ND,0.5,ND,5.2
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,Styrene,0.75,0.5,3.2,2.1
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,o-Xylene,2.74,0.5,11.9,2.2
15CVCP014K,86 Fleet Place,SV-24,Spectrum Analytical,Yes,2007-04-26,2007-04-27T00:00:00Z,"1,1,2,2-Tetrachloroethane",ND,0.5,ND,3.4
